No	채널명	구독자수	전체 비디오개수	누적 조회수	비디오 제목	비디오 조회수	비디오 좋아요	카테고리	촬영지역	세부 지역	키워드	설명	업로드일자	썸네일	videoURL	videoPath	audioPath
351	셀튜브	88명	-	-	제주살이 Vlog 제주도 자쿠지 독채 펜션  서광이지  리뷰 제주 감성 숙소	11205	78	호텔	제주도	-		 제주감성숙소 제주펜션 제주신혼여행 서귀포시 서광리에 위치한 감성 숙소를 소개합니다 제주스러운 풍경에서 둘만의 프라이빗한 시간을 보낼 수 있는 서광이지 리뷰 	2021-02-23 00:00:00	https://i.ytimg.com/vi/kvvRAu9kcdM/sddefault.jpg	https://www.youtube.com/watch?v=kvvRAu9kcdM	제주살이 Vlog 제주도 자쿠지 독채 펜션  서광이지  리뷰 제주 감성 숙소.mp4	제주살이 Vlog 제주도 자쿠지 독채 펜션  서광이지  리뷰 제주 감성 숙소.mp3
352	올스티비	1.77만명	-	-	완벽한 제주 호캉스 호텔 오션뷰  수영장 모두 완벽한  제주호텔  	1988	9	호텔	제주도	-	제주도여행,제주도호텔,제주도숙소,제주숙소,제주호텔,제주호텔예약,제주도호텔예약,제주도숙소예약,제주도펜션,제주도,제주여행,제주더쇼어호텔,더쇼어호텔,중문관광,중문관광단지,제주오션뷰숙소,제주오션뷰호텔,제주도호캉스,제주호캉스,올스테이,호텔예약,숙소예약,호텔최저가,더쇼어호텔예약,더쇼어호텔제주,제주도 여행,숙소추천,호텔추천,여행사,스타트업,숙소예약은올스테이,제주도예약,호텔예약앱,제주도호텔추천,제주도신상호텔,호텔리뷰,제주도호텔리뷰,호텔후기	올스테이의 이번주 추천숙소 엄선해서 골라본 다양한 숙소를 소개합니다 매주 업로드 되는 올스테이의  추천숙소 ALLSTEL   사계절수영장 과 멋진 뷰를 자랑하는 제주 중문관광단지에 위치한 럭셔리한 호텔   더쇼어호텔 최저가 예약하기  https: alst io bp6 올스테이 올스텔 구독  좋아요  알림 설정 부탁드려요   여러분의 여행썰을 제보해주세요    세상의 모든 숙소   올스테이   instagram :  allstay kr https: www instagram com allstay kr  allstay 공식블로그 https: blog allstay kr 올스테이 앱 다운로드  http: alst io 1v   	2019-11-04 00:00:00	https://i.ytimg.com/vi/KvvriuEhZmY/sddefault.jpg	https://www.youtube.com/watch?v=KvvriuEhZmY	완벽한 제주 호캉스 호텔 오션뷰  수영장 모두 완벽한  제주호텔.mp4	완벽한 제주 호캉스 호텔 오션뷰  수영장 모두 완벽한  제주호텔.mp3
353	Niko TV	1.02천명	-	-	발리보다 로맨틱한  제주 신라호텔을 다녀왔어요   신라호텔수영장 풀사이드바 차돌짬뽕 제주신라호텔조식 	1570	8	호텔	제주도	-	제주신라호텔,신라제주,신라호텔차돌짬뽕,신라호텔수영장,제주신라수영장,제주신라풀사이드바,신라풀사이드바,신라호텔,제주호텔추천	 제주신라호텔  풀사이드바  야외수영장  제주신라  신라호텔차돌짬뽕 안녕하세요 니코입니다 유채꽃이 만개한 4월  제주도 신라호텔에 다녀왔습니다   방역수칙을 준수하여 조심조심 다녀왔습니다 워낙 오래된 호텔이라 룸컨디션은 다소 올드하지만  역시 실망시키지 않았던 예쁜 정원조경과 신라호텔바로 앞 해변  수영장과 시그니처 풀사이드바 차돌 짬뽕까지  여러분들과 함께 여행하는 느낌으로 전달할 수 있게 열심히 찍어보았어요  재밌게 보시고 다음에 또 놀러와주세요  감사합니다    Place : 제주 호텔신라   Track Info: staby   BIN   LA LA LA   CAMERA: Galaxy Note10   Subscribe to my channel 	2021-04-20 00:00:00	https://i.ytimg.com/vi/kw7CCnyhDe0/sddefault.jpg	https://www.youtube.com/watch?v=kw7CCnyhDe0	발리보다 로맨틱한  제주 신라호텔을 다녀왔어요   신라호텔수영장 풀사이드바 차돌짬뽕 제주신라호텔조식.mp4	발리보다 로맨틱한  제주 신라호텔을 다녀왔어요   신라호텔수영장 풀사이드바 차돌짬뽕 제주신라호텔조식.mp3
354	나원Nawon	903명	-	-	롯데호텔 제주  야외수영장 해온  조식  칠돈가  쌍둥이횟집 가족여행 VLOG	3947	25	호텔	제주도	-	롯데호텔제주,제주가족여행,제주호텔,레이크프라자,롯데호텔제주조식,롯데호텔제주수영장,해온,칠돈가중문점,쌍둥이횟집,국수바다,성게알국밥,제주맛집,초보유튜버,브이로그,40대유튜버,40대브이로그,아이폰11프로,강나원,강나원보물창고,파이널컷프로초보자	롯데호텔 제주에 가족여행 다녀왔어요 모닝수영은 실내수영장에서 낮수영 밤수영은 야외수영장 해온에서  가족여행하기 정말 좋은 롯데호텔 제주 롯데호텔 디럭스룸 내부 01:02 야외수영장 해온 02:06 칠돈가 중문점 04:12 레이크플라자 조식메뉴 08:49 쌍둥이횟집 11:24 국수바다 성게알국밥 12:36 제주에서 즐거운 여행되세요 : 촬영:아이폰11프로 편집:파이널컷프로 음악:유뷰트오디오 라이브러리 1 Twin Musicom의 Elvish Presto은 아티스트: http: www twinmusicom org 2 Kevin MacLeod의 Cold Funk   Funkorama 출처: http: incompetech com music royalty free index html isrc USUAN1100499 아티스트: http: incompetech com 3 Kevin MacLeod의 Easy Lemon 60 Second 출처: http: incompetech com music royalty free index html isrc USUAN1200077 아티스트: http: incompetech com 4 Kevin MacLeod의 Beach Party   Islandesque 출처: http: incompetech com music royalty free index html isrc USUAN1100613 아티스트: http: incompetech com 롯데호텔제주  초보유튜버  브이로그	2020-03-17 00:00:00	https://i.ytimg.com/vi/kWbCs_YzAns/sddefault.jpg	https://www.youtube.com/watch?v=kWbCs_YzAns	롯데호텔 제주  야외수영장 해온  조식  칠돈가  쌍둥이횟집 가족여행 VLOG.mp4	롯데호텔 제주  야외수영장 해온  조식  칠돈가  쌍둥이횟집 가족여행 VLOG.mp3
355	sosohanTV 한국음식식당카페집밥여행지	1.1천명	-	-	제주도 최고의 뷔페  그랜드조선호텔 아리아 뷔페  내돈내산  전메뉴 공개합니다 	526	9	호텔	제주도	-	Korea,한국,韩国,韓国,한국여행,trip to Korea,韩国之行,韓国旅行,Korean food,한국음식,韩国料理,韓国料理,서울,ソウル,Seoul,首尔,맛집,restaurant,グルメ,餐厅,가봐야 할 곳,place to go,去处,行くべき場所,여행,旅行,travel,먹거리,food,食物,食べる,住在首尔,할인,Sale,割引,销售,데이트장소,date spot,デート場所,约会地点,랍스터,龙虾,ロブスター,大丈夫,雪蟹,럭셔리부페,豪华自助餐,高級ビュッフェ,luxury buffet,호텔부페추천,Hotel buffet recommendation,제주도,済州島,Jeju Island,아리아부페,aria buffet,艾莉亚自助餐,호텔부페,hotel buffet,酒店自助餐,ホテルブーフェ,부페추천,Buffet recommendation,自助餐推荐,ビュッフェおすすめ,제주 최고,济州最好的,jeju best,済州最高	 sosohanTV  아리아  제주도부페추천  호텔부페  제주도 최고가 제주도 최고의 호텔부페 중 한곳  그랜드 조선호텔 아리아부페  See More 더보기를 눌러주세요 티켓몬스터 예약시 2만원 할인 성인 : 125 000원    티켓몬스터 할인 103 000원으로 입장 주소 : 제주 서귀포시 중문관광로72번길 60  단체석  주차  예약  무선 인터넷  남 녀 화장실 구분  장애인 편의시설 가격 대비 기대가 많아서 그런지 실망이었습니다   10만원대 호텔부페임에도 불구하고 랍스터도 안나오구요   추천하긴 힘드네요  ㅜㅜ	2022-04-01 00:00:00	https://i.ytimg.com/vi/l5stvenQd9A/hqdefault.jpg	https://www.youtube.com/watch?v=l5stvenQd9A	제주도 최고의 뷔페  그랜드조선호텔 아리아 뷔페  내돈내산  전메뉴 공개합니다.mp4	제주도 최고의 뷔페  그랜드조선호텔 아리아 뷔페  내돈내산  전메뉴 공개합니다.mp3
356	Ori오리의 소비로그	4.86만명	-	-	ENG  갬성가득 제주 독채 숙소 2곳 추천  인데 이제 댕댕이를 곁들인  제주 소비로그 댕댕이 동반 제주여행기 	17539	253	호텔	제주도	-	제주도,제주여행,제주 숙소추천,제주 숙소,제주 독채,애견동반,제주 애견동반,제주 숙소 애견,반려견동반 숙소,반려견,jeju,jeju island,제주 여행지,제주 맛집,jeju trip	 Ori Instagram: https: www instagram com ori sparkle official Ori Email: sparkle ori gmail com 오늘도 시청해주셔서 감사합니다 숙소 정보 제주애단비 귀덕  네이버 예약 애월류가  에어비앤비 착장정보 블라우스: Sparkle Select https: www instagram com sparkle select http: www sparkle select com	2021-05-21 00:00:00	https://i.ytimg.com/vi/l5uLt6_DTFE/sddefault.jpg	https://www.youtube.com/watch?v=l5uLt6_DTFE	ENG  갬성가득 제주 독채 숙소 2곳 추천  인데 이제 댕댕이를 곁들인  제주 소비로그 댕댕이 동반 제주여행기.mp4	ENG  갬성가득 제주 독채 숙소 2곳 추천  인데 이제 댕댕이를 곁들인  제주 소비로그 댕댕이 동반 제주여행기.mp3
357	단비의 꿀시피	104명	-	-	제주에서 제일 비싼 호텔뷔페 : 롯데호텔 더 캔버스 Lotte Hotel Jeju Buffet Restaurant ㅣ 라세느를 이을 뉴 브랜드 	16353	79	호텔	제주도	-	제주뷔페,제주 뷔페,제주호텔뷔페,제주 호텔뷔페,제주가성비맛집,제주뷔페추천,제주해산물뷔페,제주신라호텔뷔페,제주더파크뷰,제주호텔추천,전국호텔뷔페,호텔뷔페,제주더캔버스,제주캔버스,제주롯데호텔,제주롯데호텔뷔페,롯데호텔뷔페,라세느,롯데호텔라세느,제주라세느	제주에서 가장 비싼 호텔뷔페 더 캔버스   5성급 롯데호텔 제주에서 새로 오픈한 더 캔버스 뷔페   서울 롯데호텔 라세느에 뒤쳐지지 않는 제주 해산물부터 다양한 메뉴들까지 없는게 없는 제주 찐맛집    가족이나 연인  혹은 친구들끼리 제주여행에서 호화스러운 식사하러 한번 가보실까요   The most expensive hotel buffet in Jeju  The Canvas Buffet newly opened at the 5 star Lotte Hotel Jeju  From seafood better than La Seine to Lotte Hotel  Seoul A must go restaurant when visiting Jeju  Would you like to go for a luxurious meal with your family  couple  or friends 	2020-09-30 00:00:00	https://i.ytimg.com/vi/lce-UPuxhbs/sddefault.jpg	https://www.youtube.com/watch?v=lce-UPuxhbs	제주에서 제일 비싼 호텔뷔페 : 롯데호텔 더 캔버스 Lotte Hotel Jeju Buffet Restaurant ㅣ 라세느를 이을 뉴 브랜드.mp4	제주에서 제일 비싼 호텔뷔페 : 롯데호텔 더 캔버스 Lotte Hotel Jeju Buffet Restaurant ㅣ 라세느를 이을 뉴 브랜드.mp3
358	추신수 chu	1.09천명	-	-	제주도 게스트하우스 여행 삼겹살파티 리뷰	4159	23	호텔	제주도	-		제주도 공항근처 게스트하우스  혼자 삼겹살먹기싫을때는 파티게스트하우스에서 여행자들과  다같이 삼겹살 파티 하는걸로  ㅎㅎㅎㅎ  정보등 궁금한점 댓글로 남겨주세요 필요한tv 요한입니다 제주도  삼겹살파티  제주도여행  게스트하우스  여행  필요한tv	2020-01-23 00:00:00	https://i.ytimg.com/vi/LErcngQ_hC8/sddefault.jpg	https://www.youtube.com/watch?v=LErcngQ_hC8	제주도 게스트하우스 여행 삼겹살파티 리뷰.mp4	제주도 게스트하우스 여행 삼겹살파티 리뷰.mp3
359	사이결 튜브[Travel for Fitness]	2.33만명	-	-	평점 최악의호텔에서 무슨일이 5만원짜리 특급호텔 	59298	243	호텔	제주도	-	공복근력운동,공복웨이트,근손실,직장인다이어트,다이어트,간헐적단식,간헐적단식근손실,간헐적단식운동,초간단,3분운동,공복운동,웨이트,근력운동,weighttraining,아침운동,꿀팁,헬스,흑자헬스,힙으뜸,힙업,스쿼트,다이어트식단,공복운동다이어트,homecardio,웨이트트레이닝,웨이트트레이닝초보,헬스장,헬린이,헬창,헬스장여자,헬스장처음,홈트,홈트레이닝,홈트레이닝여자,요가,필라테스,스쿼트챌린지,엉덩이,허벅지운동,허벅지,허벅지다이어트,하비다이어트,하비,여자하비,하체비만다이어트,하체부종,집운동,운동초보,스쿼트자세,제이제이살롱드핏,땅끄부부,복근,복근유지,유지어터,직장인다이어트식단,엉덩이운동,힙업운동,웨이트트레이닝루틴,제로콜라,최악의호텔,호캉스,호텔리뷰,제주도풀빌라,수영장호텔,풀빌라,비키니,비키니모델,비키니하울,bikini,jejuisland,jejuhotel,jeju,풀파티,호텔브이로그,제주도여행,제주도,제주도호텔,최악의,운동하는직장인,poolparty,poolvilla,헬매콜먼,여자복근	 호캉스  최악의호텔  루프탑수영장	2020-08-20 00:00:00	https://i.ytimg.com/vi/Lf8qhualytM/sddefault.jpg	https://www.youtube.com/watch?v=Lf8qhualytM	평점 최악의호텔에서 무슨일이 5만원짜리 특급호텔.mp4	평점 최악의호텔에서 무슨일이 5만원짜리 특급호텔.mp3
360	kim어떠남	1.06천명	-	-	제주도 애월 저렴하고 가성비좋은 바다전망 펜션	107	2	호텔	제주도	-	애월숙소,애월호텔,애월바다전망숙소,바다전망펜션,제주도펜션,애월가성비좋은숙소,씨앤힐스파펜션,제주도애월,애월저렴한펜션	애월 씨앤힐스파펜 바다전망 1박 4만원  탐나오 예약 	2021-11-17 00:00:00	https://i.ytimg.com/vi/lFrekCZ41uI/sddefault.jpg	https://www.youtube.com/watch?v=lFrekCZ41uI	제주도 애월 저렴하고 가성비좋은 바다전망 펜션.mp4	제주도 애월 저렴하고 가성비좋은 바다전망 펜션.mp3
361	skiskibong	119명	-	-	제주 히든 클리프 호텔 풀파티	1969	4	호텔	제주도	-		제주 히든 클리프 호텔 풀파티 영상 분위기와 조명 비키니 수영복들이 많아용	2020-09-22 00:00:00	https://i.ytimg.com/vi/LFVqOZav5eE/sddefault.jpg	https://www.youtube.com/watch?v=LFVqOZav5eE	제주 히든 클리프 호텔 풀파티.mp4	제주 히든 클리프 호텔 풀파티.mp3
362	WHY블로거_달콤맘	4.08천명	-	-	제주도호텔 신화월드 조식후기   제주도호텔조식추천 :: 신화관 조식리뷰	11509	39	호텔	제주도	-	제주,제주도,제주여행,제주도여행,제주도호텔,제주도숙소,제주호텔추천,제주도호텔추천,제주도호텔조식,호텔조식,국내여행호텔조식,국내호텔조식,제주도 호캉스,제주도태교여행,국내태교여행,제주태교여행,신화월드,신화월드호캉스,신화월드조식,신화월드조식리뷰,신화월드 메리어트관,신화월드 신화관,신화월드 랜딩관,신화월드 서머셋,제주신화월드조식,제주신화월드,제주도호텔조식후기,더본호텔조식,제주도 여름휴가,제주여름휴가,여름휴가 제주도,제주도여행코스,제주도여행맛집,제주맛집,제주도맛집,중문호텔,신화월드맛집,제주도 아침식사,제주도아침,제주도아침메뉴,제주호텔 조식,제주호텔수영장,제주호텔순위,제주호텔뷔페,호텔뷔페,신화월드신화관조식,신화월드메리어트조식,신화월드 다이닝,제주신라호텔조식,제주롯데호텔조식,제주더본호텔조식,제주도호텔리뷰,국내호텔리뷰	 신화월드조식  신화월드신화관조식  제주도호텔조식 이번 신화월드 신화관 조식 리뷰입니다 정말 3일 내내 맛있게 먹었던 조식 코로나때문에 마스크 필수  신분증 필수입니다 : 	2020-07-19 00:00:00	https://i.ytimg.com/vi/lgRy0RrftkA/sddefault.jpg	https://www.youtube.com/watch?v=lgRy0RrftkA	제주도호텔 신화월드 조식후기   제주도호텔조식추천 :: 신화관 조식리뷰.mp4	제주도호텔 신화월드 조식후기   제주도호텔조식추천 :: 신화관 조식리뷰.mp3
363	두미집 DOOMIZIP		-	-	5성급 제주 롯데호텔 디너뷔페 더 캔버스 과연  이보다 자세할 순 없다 	8164	61	호텔	제주도	-		재밌게 보셨다면 좋아요 구독  제주롯데호텔  더캔버스  호텔뷔페	2021-04-18 00:00:00	https://i.ytimg.com/vi/lICMJ_CCJNA/sddefault.jpg	https://www.youtube.com/watch?v=lICMJ_CCJNA	5성급 제주 롯데호텔 디너뷔페 더 캔버스 과연  이보다 자세할 순 없다.mp4	5성급 제주 롯데호텔 디너뷔페 더 캔버스 과연  이보다 자세할 순 없다.mp3
364	박다솜사탕		-	-	 VLOG  4박5일 제주 남쪽 동쪽여행 브이로그  1 : 원앤온리  미남미녀  잔물결  솔지식당  신화월드  천짓골  천제연폭포  색달식당  쇠소깍  사계해변	7846	116	호텔	제주도	-	제주여행,제주도여행,제주도,제주,제주감성숙소,제주감성,제주감성카페,제주맛집,제주카페,제주핫플,제주도가볼만한곳,제주가볼만한곳,제주서쪽,제주서쪽여행,제주서쪽숙소,제주서쪽맛집,제주서쪽카페,감성,감성카페,감성숙소,오션뷰숙소,오션뷰카페,제주바다,카카오맵,제주3박4일,김포공항,김포공항파리바게트,애월맛집,제주신상카페,해담뜰,제주독채페션,제주독채,제주가성비,제주오름,제주새별오름,제주일몰,제주노을,제주칼국수,제주보말칼국수,우유부단,제주아이스크림,제주나만알고싶은곳,나만알고싶은카페,제주갤러리,랜디스도넛,제주수제버거,제주햄버거,델리만쥬,2월제주,2월제주여행,제주숙소,제주핫플레이스,미남미녀,제주동쪽카페,제주남쪽카페,제주동쪽숙소,제주남쪽숙소,신화월드,제주현지인맛집,솔지식당,우진해장국,은희네해장국,원앤온리,카페원앤온리,용머리해안,사계해변,제주we호텔,천짓골,제주올레시장,제주돔베고기,마농통닭,천제연폭포,제주폭포,색달식당,제주갈치조림,쇠소깍,제주에어비앤비,디스이즈핫,섭지코지로,고등어회,고궁보말손칼국수	2월 연휴 때 제주여행 다녀왔습니다 생각보다 날씨가 따뜻해서 겉옷을 안입고 다녔어요 코로나로 인해 관광지들이 하루 방문 인원수를 제한하고있어요 꼭 알아보시고 방문하시길 바래요 오후1 2시 정도면 거의 다 마감되더라구요 영상이 길어서 두개로 나눠 올리려합니당 재미있게 봐주세요  감사합니다 화면 설정에서 화질1080p로 감상 부탁드려요: INSTAGRAM  https: www instagram com s om s2 E MAIL angle912 naver com	2021-04-14 00:00:00	https://i.ytimg.com/vi/liDMkxZ6OCg/sddefault.jpg	https://www.youtube.com/watch?v=liDMkxZ6OCg	 VLOG  4박5일 제주 남쪽 동쪽여행 브이로그  1 : 원앤온리  미남미녀  잔물결  솔지식당  신화월드  천짓골  천제연폭포  색달식당  쇠소깍  사계해변.mp4	 VLOG  4박5일 제주 남쪽 동쪽여행 브이로그  1 : 원앤온리  미남미녀  잔물결  솔지식당  신화월드  천짓골  천제연폭포  색달식당  쇠소깍  사계해변.mp3
365	공원생활 / ParkLife	13.1만명	-	-	오션뷰 독채   전용 인피니티풀  국내 풀빌라 BEST5   Korean private pool villa BEST5 under   160 	439228	2.9천	호텔	제주도	-	풀빌라,풀,빌라,독채,펜션,호텔,숙박,여행,국내여행,해외여행,korea,hotel,pool,villa,travel,trip,trip advisor,ciel,jeju,seoul,제주도,제주,블리스제주,라미아까사,오블라디,리버레전드,씨엘178,씨엘,low cost,cost,budget,expensive,cheap,강원,강릉,강릉시,고성군,강원도	업로드 당시에는 날짜에 따라 최저가 10만원 후반 20만원 초반 정도였는데요  날씨가 따뜻해지면서  타인과의 접촉이 적은 독채 펜션에 대한 예약수요가 몰리면서 가격이 많이 올랐네요 ㅠㅠ ㅠ 숙박 특성상 예약 상황에 따라 가격이 변동될 수 있는 점 참고 부탁드릴게요     Are you planning a trip to Korea  How about a luxurious pool villa accommodation  It s less than   160 a nice Pool villa overlooking the beautiful and fresh Korean sea  Please see below for reservation URL 블리스제주 풀빌라  Blissjeju Pool villa in jeju island    https: bit ly 2VrVoFy 리버레전드 풀빌라  Riverlegend Pool villa in Yangpyeong si   https: bit ly 3egw3qG 오블라디 풀빌라  Obladi Pool villa in Paju si https: bit ly 2RxPfXv 씨엘178 풀빌라 Ciel178 Pool villa in  goseong gun https: bit ly 2JYY4p5 라미아까사 풀빌라 La mia Casa in gangleung si https: bit ly 2V4pGzg 기획 편집 : 김대열	2020-04-09 00:00:00	https://i.ytimg.com/vi/LjTRrzuE1Pg/sddefault.jpg	https://www.youtube.com/watch?v=LjTRrzuE1Pg	오션뷰 독채   전용 인피니티풀  국내 풀빌라 BEST5   Korean private pool villa BEST5 under   160.mp4	오션뷰 독채   전용 인피니티풀  국내 풀빌라 BEST5   Korean private pool villa BEST5 under   160.mp3
366	로즈하ROSEHA	64.7만명	-	-	VLOG  즉흥적으로 떠난  제주도 브이로그   JEJU 	110228	1.9천	호텔	제주도	-		 로즈하 인스타그램   Instagram  XOXOHAJI 안녕하세요  로즈말희 여러분 영상에서 착용 했던 코디 아이템 정보들이랑 제가 다녀왔던 제주도 스팟들 정보도 함께 기입해 놓을게요 : 궁금하신 점은 언제든 댓글 남겨주시구요 ㅎㅎ 즐거운 제주도 여행 되시길 바라용 DAY1 신해바라기 분식 : 제주 제주시 정원로 47  제주공항이랑 가까워서 제주도 도착했을 때 or 집 가기 전에 들르기 괜찮은 순두부집   오징어젓갈 맛집ㅎㅎ 스위트 호텔 제주 : 제주 서귀포시 중문관광로72번길 67 스위트호텔   벙커 테라스 룸으로 예약했어요  그냥 테라스룸 보다 테라스 뷰가 더 좋은 것 같아요 : 배달의 민족 식당 정보 :  사계절 조개 회 바당  이라는 곳인데  막 엄청 맛있다  꼭 시켜먹어야 된다 는 아니고 그냥 무난무난 먹기 좋았습니당  술 안주로는 딱일 것 같아요ㅎㅎ DAY2 제주 유채꽃 스팟 : 산방산   용머리해안 칠돈가 중문점 : 제주 서귀포시 중문관광로 8  유명한  숙성도 가 웨이팅이 너무 심해서 근처에 있는 고깃집으로 온거였는데  평일 오후 5시 기준으로 웨이팅도 없고 직원분이 다 구워주셔서 편했고  고기도 맛있고 괜찮았어요  브레이크 타임이 있으니 꼭 확인하고 가셔야합니당 아르떼 뮤지엄 : 제주 제주시 애월읍 어림비로 478  제주도 여행중에 비가 온다거나 날씨가 추워서 실내 데이트 고민이시라면 꼭  가셔야합니당  저는 너무너무 좋았어서 거의 2시간 가까이 감상하다가 나왔숩니다 ㅎㅎ 특히 명화룸은 끝났나 싶으면 계속 새로운 모습으로 바뀌기때문에 꼭 끝까지 존버하세요 DAY3 무무제주 : 제주 서귀포시 호근남로5번길 14 5  건물 외관이 너무 귀여운 소품샵이라서 포토스팟으로도 강추예용   저는 이 날 코디랑 안어울려서 굳이 안 찍음 ㅋㅋㅎ  근처에 유우명한  우무 푸딩 이라는 푸딩집도 있다고 했었는데 까먹고 못들렸어요ㅠㅠㅋ 가는김에 꼭 같이 들러보세요  글구 무무제주 소품들은 다른 대형 기념품샵이나 소품샵에도 입점 되어있어서 제품 구매만 하실 분들은 굳이 안 가셔도 될 듯 합니당  애월 소품샵들에도 무무제주 소품들이 다 입점 되어있더라고요 메리아일랜드 : 제주 제주시 한림읍 금능길 80  아기자기한 캔들이 많아서 지인들한테 제주도 기념품 나눠주기 좋은 소품샵입니당ㅎㅎ 마레벤또 : 제주 제주시 애월읍 애월로1길 10 마레벤또  애월쪽 갔다가 파스타 땡겨서 간 곳인데 사장님 엄청 친절하시고 음식도 다 맛있어요  근데 뷰맛집은 아니니 예쁜 인증샷 남기길 원하신다면 다른 곳을 츄천  애월 바다가 잘 안 보여서 쪼끔 아쉬웠어유   DAY4 바다제비 : 제주 제주시 한림읍 한림로 640  칼국수  수제비  파전 다 맛있음  강츄  저는 칼국수가 더 취향  엄마는 수제비가 더 취향이라 했지만 결론은 다 맛있어요  한치 파전은  솔직히 전보다 뭔가 야채튀김에 더 가까운 식감이랄까ㅎㅎ 존맛탱  저희는 평일 오후 애매한 시간대에 방문해서 웨이팅 없었어요   식당에 겁나 귀여운 갱얼쥐 있음 뵤뵤 : 제주 제주시 한림읍 명재로 155  유채꽃 맛집  야외 테라스 존예  디저트도 다 예뻐서 인증샷 남기기에 좋은 카페입니당ㅎㅎ 약간 덩그러니 카페만 있는 곳이라서 장소 이동하는 김에 들르는게 좋을 듯 해요   엘리사 : 제주 제주시 애월읍 가문동상2길 28 1층  여기는 뷰맛집  건물 존예라서 하늘 예쁜날 가면 인생샷 쌉가넝일듯 ㅎㅎ 물론 쿠키도 맛있고 커피도 마실 수 있어용  약간 주택가 쪽에 덩그러니 있는 카페예요  주변에 공사 소음이 살짝 시끄러웠음ㅠㅠ 실내 테이블은 없고 무조건 야외 테라스만 이용 할 수 있어서 여름엔 비추일듯 합니당 DAY1 티셔츠 : http: noirnine co kr product ciel C3 A9toil C3 A9 t shirts pink 5809 category 105 display 1 자켓 : 트렌디어패럴 세러데이 셋업 자켓  품절 바지 : http: noirnine co kr product wide pleats pants pink 5799 category 106 display 1 가방 : 발렌시아가 모터 시티백 S  신발 : 나이키 덩크로우 범고래     엄마쓰 코디템 청자켓 : https: www kikiheroes com goods goods view php goodsNo 1000000144 신발 : 나이키 덩크로우 디스럽트 로얄블루 가방 : 디올 트래블 파우치 DAY2 티셔츠 : 누아르나인 프렌치 스트라이프  품절 청자켓 : https: www kikiheroes com goods goods view php goodsNo 1000000144 노란색 니트 : 베네통  영국 매장 구매 바지 : 엄마꺼 ㅎㅎㅋ 모자 : MLB 품번 32CP15111 가방 : 샤넬 뉴미니 에코백 : 누아르나인  품절 신발 : https: kream co kr products 34060 DAY3 티셔츠 : http: noirnine co kr product b C3 A9b C3 A9 flower shop t shirts ivory 5789 category 105 display 1 원피스 : https: www miamasvin co kr product EB B8 8C EB 9E 9C EB 93 9C EB B7 94 EC 8A A4 ED 8B B0 EC 97 90 EC 9B 90 ED 94 BC EC 8A A4 66539 category 50 display 1 가디건 : 아크네 스튜디오  캐치패션 구매 모자 : 버버리 호스페리 모티프 코튼 트윌 야구모자 신발 : 나이키 덩크로우 범고래 가방 : 디올 트래블 파우치 DAY4 원피스 : 메이빈스  품절 스카프 : 미우미우 프린티드 트윌 스카프 가방 : 미닛뮤트 리무드백 버터핑크 신발 : 미우미우  사용하시는 기기에 따라 보여지는 색감이 많이 다를 수 있습니다 E mail : kongyi77 naver com Video Source Support Youtube channel  freeticon  : https: www youtube com c Freeticon 	2022-04-16 00:00:00	https://i.ytimg.com/vi/Llq0lKshR-M/sddefault.jpg	https://www.youtube.com/watch?v=Llq0lKshR-M	VLOG  즉흥적으로 떠난  제주도 브이로그   JEJU.mp4	VLOG  즉흥적으로 떠난  제주도 브이로그   JEJU.mp3
367	녜리	101명	-	-	다채놀 제주 서쪽 독채 자쿠지 신상숙소 리뷰 ㅣ 녜리 브이로그	520	5	호텔	제주도	-	녜리쓰,녜리쓰일상,녜리쓰데일리,일상브이로그,데일리브이로그,커플브이로그,맛집블로거,요리블로거	2022년 3월에 오픈한 신상중에 신상 숙소 다채놀에 다녀왔습니다:  내돈내산 리뷰 재밌게 봐주세요: 오늘도 저의 영상에 찾아와주셔서 감사해요 녜리 인스타그램 :  neli food     neli daily    neli design pf https: www instagram com neli design https: www instagram com neli daily https: www instagram com neli food 녜리 블로그 : neli https: m blog naver com tovmsl23 mail : tovmsl23 naver com	2022-03-07 00:00:00	https://i.ytimg.com/vi/LmHEPboglmM/sddefault.jpg	https://www.youtube.com/watch?v=LmHEPboglmM	다채놀 제주 서쪽 독채 자쿠지 신상숙소 리뷰 ㅣ 녜리 브이로그.mp4	다채놀 제주 서쪽 독채 자쿠지 신상숙소 리뷰 ㅣ 녜리 브이로그.mp3
368	국내여행베스트	319명	-	-	제주공항 근처 호텔 추천  제주 리젠트마린호텔	2426	10	호텔	제주도	-	제주공항근처호텔,제주공항호텔,리젠트마린호텔,제주여행,국내여행베스트,제주호텔추천	차 없이 1박2일로 좋은 제주 리젠트마린호텔 숙박후기입니다 공항에서 가깝고 가성비 좋은 호텔 추천 바로 앞 바다가 있고  공항에서 택시 기준 10분 거리 마트까지 도보 3분  칠성로 보도 5분  동문시장 도보 15분   국내여행 베스트  네이버TV채널은 직접 다녀온 여행을 솔직하고 생생하게 리뷰합니다 travelbest korea	2021-05-16 00:00:00	https://i.ytimg.com/vi/Lmltad8FCFE/sddefault.jpg	https://www.youtube.com/watch?v=Lmltad8FCFE	제주공항 근처 호텔 추천  제주 리젠트마린호텔.mp4	제주공항 근처 호텔 추천  제주 리젠트마린호텔.mp3
